target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoEpi4_52542trans,0.37737681,0.440865173,-0.551202871,0.624422734,3.279675658,0.319815586,0.080515567,0.191327748,0.699291933,0.699291933
SymEpi2_6514trans,0.378826258,0.442301504,-0.828883775,0.94184808,3.05031881,1.717004329,0.345682455,1.428473157,0.820286429,1.428473157
SymGas3_126711trans,0.378876767,0.442301504,1.247622769,1.417805065,1.794577969,3.890739938,0.76533592,3.255006483,0.928449585,3.255006483
SymGas2_36440trans,0.382148012,0.446004608,0.902411003,1.032571425,1.631440834,2.060448028,0.179503377,1.952904117,0.852536512,1.952904117
SymGas1_79347trans,0.382263744,0.446023948,0.683094732,0.78181187,2.096733565,0.286077181,0.212047892,-0.033830653,1.010411706,1.010411706
ApoEpi4_53281trans,0.383184783,0.446982665,0.510465339,0.585366997,3.406026158,0.176700742,0.051748012,0.067544566,0.633561031,0.633561031
ApoGas2_24346trans,0.384956737,0.448855651,-0.737776372,0.849190479,1.98177835,0.659032107,0.456256059,0.131176741,0.985992879,0.985992879
SymEpi1_76502trans,0.384990018,0.448855651,1.043247552,1.200875982,2.01992551,2.783138344,0.262239457,2.621966793,0.994721708,2.621966793
SymGas4_55498trans,0.385721646,0.449592113,0.455873168,0.525561427,6.011510635,0.532888351,0.003275323,0.549154304,0.122213147,0.549154304
SymEpi4_11233trans,0.387316609,0.451334224,-0.580008308,0.670922353,3.034748849,0.240806913,0.072159976,0.096644877,0.828113632,0.828113632
ApoEpi1_24213trans,0.38767305,0.451415634,-1.119182114,1.29558211,1.371866158,3.235361891,0.245932992,3.111133013,0.698515142,3.111133013
SymEpi2_4288trans,0.387514286,0.451415634,0.766301012,0.886784937,1.713113347,1.277667487,0.680002597,0.614870391,0.892772453,0.892772453
SymGas1_46716trans,0.387687549,0.451415634,-0.674785673,0.781165946,2.18319791,0.711136828,0.196799453,0.481081612,1.023641017,1.023641017
