target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoEpi4_54278trans,0.979823837,0.985004174,0.010746748,0.424944533,7.974049164,0.309595036,0.000155489,0.361000223,0.095325895,0.361000223
ApoGas2_30022trans,0.979777357,0.985004174,-0.011631568,0.458874493,2.448896842,0.361008599,0.149017872,0.272113729,0.197768689,0.272113729
ApoGas3_31948trans,0.980615768,0.985552168,0.010822892,0.445442906,3.484620582,0.34018098,0.128007184,0.268831581,0.193798119,0.268831581
SymEpi1_22253trans,0.981456308,0.986148727,-0.006069056,0.261111439,5.29541697,0.01883708,0.005828909,0.016135406,0.130529458,0.130529458
ApoEpi4_13260trans,0.984936905,0.989148155,0.012304499,0.651724399,2.738407568,0.728177016,0.266407161,0.583082224,0.207255037,0.583082224
ApoGas3_41296trans,0.984758393,0.989148155,-0.015040676,0.787318136,1.469562427,1.06269866,0.454333389,0.785406307,0.197832244,0.785406307
ApoEpi2_33250trans,0.985290845,0.989254801,-0.00879549,0.477076253,2.791526106,0.390196533,0.155412709,0.299790793,0.207734739,0.299790793
ApoGas4_15706trans,0.986073223,0.989791448,0.005730814,0.328309714,3.621386083,0.078811271,0.027346045,0.06458949,0.188228492,0.188228492
SymGas4_74240trans,0.986840492,0.990312663,0.006410262,0.388648055,4.98282883,0.258949988,0.016898899,0.285195723,0.138636916,0.285195723
ApoGas1_26762trans,0.987827677,0.990556483,-0.020519917,1.345009487,1.112864839,3.101349766,0.316730365,3.301370673,0.179147773,3.301370673
ApoGas1_36706trans,0.98737467,0.990556483,-0.013053146,0.824886882,1.351567088,1.166514454,0.208099971,1.152776765,0.198674215,1.152776765
SymEpi4_20450trans,0.987675905,0.990556483,-0.007391467,0.478518125,2.071765426,0.278230215,0.285960109,0.038623597,0.171999083,0.171999083
SymEpi2_3327trans,0.988312166,0.990793492,0.023057197,1.573971923,1.223046608,4.247102093,1.262473399,3.692301831,0.191037536,3.692301831
ApoEpi4_46708trans,0.98900577,0.99123997,0.011308589,0.820672596,1.208776836,1.154613984,0.274339417,1.072667603,0.189801317,1.072667603
SymEpi4_17664trans,0.990169703,0.992157497,0.004157128,0.337408367,4.198310963,0.195166776,0.016455643,0.211233168,0.164168408,0.211233168
SymEpi1_49728trans,0.990613855,0.992353519,-0.005909304,0.502318476,2.075875049,0.102413643,0.332466181,-0.212995237,0.172181523,0.172181523
ApoEpi3_43487trans,0.994083606,0.995579593,0.002581973,0.348201603,3.23405255,0.097890657,0.040191521,0.074012024,0.202297192,0.202297192
ApoGas4_52838trans,0.995170981,0.996168896,-0.002811228,0.464488045,1.95064224,0.369857934,0.23033462,0.201163668,0.169389225,0.201163668
SymEpi2_14710trans,0.994998884,0.996168896,0.001892943,0.302000642,4.200051146,0.059862548,0.01830621,0.051532235,0.164102566,0.164102566
ApoEpi2_13275trans,0.998140618,0.998710626,0.003030093,1.300250395,1.129906327,2.898261634,0.372194366,3.009107813,0.18136628,3.009107813
SymEpi3_53319trans,0.998319112,0.998710626,-0.005106099,2.423763481,4.425587732,10.07080072,0.012627456,11.73663136,0.15593657,11.73663136
SymGas3_65719trans,0.99846051,0.998710626,-0.000692166,0.358734725,3.417935318,0.023106194,0.061065332,-0.034108265,0.196315874,0.196315874
ApoGas2_30494trans,0.999206791,0.999206791,0.000535029,0.53818193,2.22262162,0.496525435,0.258478402,0.320801177,0.181050614,0.320801177
ApoEpi1_719trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_750trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_1163trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_1164trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_1769trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_2088trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_2214trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_2672trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_3432trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_4567trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_4919trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_6235trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_7368trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_7393trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_7394trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_7491trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_8106trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_8303trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ApoEpi1_8304trans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
