target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoGas3_19351trans,0.622702714,0.904087442,0.285040188,0.579322276,2.805081932,0.131949297,0.239526724,-0.112668514,0.431701876,0.431701876
SymGas4_47838trans,0.622252809,0.904087442,0.263027164,0.533891806,3.570752068,0.508407443,0.168939121,0.4011418,0.247043552,0.4011418
ApoGas1_4124trans,0.624068355,0.904622087,0.501144223,1.022550015,2.229556772,1.864227637,0.681082295,1.410134771,0.737653219,1.410134771
ApoEpi4_48197trans,0.625443557,0.905154414,-0.379679723,0.777793052,2.528342949,1.078265395,0.158820396,1.051103667,0.556837873,1.051103667
ApoGas4_32164trans,0.625325326,0.905154414,-0.378181154,0.774458311,2.01061434,0.950795933,0.304445888,0.757142372,0.895125463,0.895125463
ApoEpi4_4220trans,0.628153144,0.906205516,0.216430026,0.446866687,3.361318937,0.355708849,0.030467486,0.368912186,0.283922557,0.368912186
ApoGas1_4667trans,0.627614157,0.906205516,-0.399555891,0.823677685,2.057295838,0.170080786,0.496162631,-0.350950016,0.860727226,0.860727226
ApoGas3_16928trans,0.628873919,0.906205516,0.160254692,0.331575776,3.983599045,0.076619927,0.021090909,0.059738483,0.19879408,0.19879408
ApoGas4_12779trans,0.631126784,0.906205516,0.226939815,0.472651953,3.307451242,0.324054326,0.151930219,0.208965934,0.294869519,0.294869519
ApoGas4_57272trans,0.631215535,0.906205516,0.391208972,0.814990377,1.839075447,1.182371527,0.300985871,1.027432757,1.001508688,1.027432757
SymEpi3_1434trans,0.630211334,0.906205516,-0.27983511,0.581258851,2.799487424,0.546689295,0.24205393,0.369647685,0.433669774,0.433669774
SymEpi4_25498trans,0.630952958,0.906205516,0.259668045,0.540540426,2.879802858,0.520151773,0.145867826,0.438500078,0.406536813,0.438500078
SymEpi2_6276trans,0.631107352,0.906205516,-0.433923857,0.903690189,1.603716677,0.366713742,0.518052152,-0.152982758,1.115259765,1.115259765
SymEpi2_30706trans,0.628715591,0.906205516,-0.463867232,0.959324133,1.57625053,1.391154256,0.714596996,0.836692033,1.126008587,1.126008587
SymGas2_98264trans,0.628474624,0.906205516,-0.451424475,0.93293625,1.431165153,1.550286954,0.529965285,1.21077481,1.168271355,1.21077481
ApoEpi4_12415trans,0.632271006,0.906320961,-0.737888473,1.541980844,1.12750421,4.231631125,0.436207304,4.319202543,1.177382648,4.319202543
ApoEpi4_30005trans,0.632305214,0.906320961,0.127275612,0.265997208,5.441299509,0.079103391,0.004980476,0.08190712,0.136528553,0.136528553
SymGas3_89481trans,0.633104654,0.906743189,-0.453936472,0.95092792,1.752097802,0.334982062,0.761805791,-0.439679492,1.046722025,1.046722025
ApoEpi2_21067trans,0.634513036,0.907035263,0.727475891,1.530289896,1.718977924,4.165698331,0.303245711,4.380328618,1.063222643,4.380328618
SymEpi1_49728trans,0.634823678,0.907035263,0.378895106,0.797760393,1.956125682,0.26581641,0.339508292,-0.077242981,0.933334997,0.933334997
SymEpi2_30456trans,0.63461246,0.907035263,0.162208043,0.341314675,3.862622589,0.093863568,0.023342723,0.077394291,0.209648692,0.209648692
ApoEpi4_16008trans,0.636393505,0.907611908,-0.153316594,0.324309852,4.105224773,0.109562688,0.020136151,0.099851659,0.19021761,0.19021761
ApoGas1_23970trans,0.636743321,0.907611908,-0.372088477,0.787893955,2.016990237,0.699653393,0.351065164,0.419047182,0.890488603,0.890488603
ApoGas4_4381trans,0.636223884,0.907611908,0.445352304,0.941578081,1.081913886,1.576501247,0.233083714,1.54005485,1.169875503,1.54005485
ApoEpi1_13870trans,0.658035407,0.908942423,-0.322828553,0.729346395,2.370842136,0.298117502,0.411378728,-0.0983144,0.6525136,0.6525136
ApoEpi1_30245trans,0.666414635,0.908942423,-0.352359797,0.817399973,1.75054227,0.353256292,0.288777181,0.081969351,1.047508249,1.047508249
ApoEpi2_9688trans,0.66636976,0.908942423,0.399628784,0.926921281,1.878964746,1.481165761,0.738072479,0.936719854,0.980293642,0.980293642
ApoEpi2_14043trans,0.650029243,0.908942423,0.845704766,1.863928957,3.129275916,6.160172428,0.755680041,6.192782275,0.335603966,6.192782275
ApoEpi2_16307trans,0.663612727,0.908942423,-0.108621533,0.249744458,6.781714335,0.110294972,0.001370091,0.123374497,0.111111471,0.123374497
ApoEpi2_19761trans,0.663689372,0.908942423,-0.131525002,0.302477931,4.507972005,0.014001958,0.011871201,-0.001301859,0.171114597,0.171114597
ApoEpi3_11588trans,0.66460036,0.908942423,-0.504247793,1.163012226,1.702967969,2.391385848,0.843636529,1.861558348,1.070997364,1.861558348
ApoEpi3_17361trans,0.646750637,0.908942423,-0.962730436,2.100743046,2.633187778,7.830165134,3.11E-31,8.826242692,0.500905617,8.826242692
ApoEpi3_19603trans,0.662072077,0.908942423,-0.470290673,1.076046693,1.177637012,2.048123493,0.131425521,2.184327448,1.183055669,2.184327448
ApoEpi3_25990trans,0.642300579,0.908942423,-0.256449975,0.552117264,2.694435916,0.346825451,0.136430637,0.246276859,0.473236311,0.473236311
ApoEpi3_47324trans,0.66337205,0.908942423,0.378047384,0.868550731,1.212700768,1.141765952,0.323382693,0.961037642,1.185378051,1.185378051
ApoEpi3_50655trans,0.653563089,0.908942423,-0.572519719,1.275617199,1.790654314,2.883135503,0.906378345,2.348020132,1.026942139,2.348020132
ApoEpi4_547trans,0.66124636,0.908942423,-0.504532423,1.151393079,1.682908286,2.345368315,0.438911368,2.212500678,1.080524122,2.212500678
ApoEpi4_7333trans,0.64957396,0.908942423,-0.295033045,0.649346013,2.335441551,0.382106415,0.169121258,0.247654727,0.674179231,0.674179231
ApoEpi4_20944trans,0.658248761,0.908942423,-0.336738959,0.76128051,2.282208095,0.79861416,0.453503199,0.440415612,0.705592831,0.705592831
ApoEpi4_30457trans,0.645448915,0.908942423,0.196113125,0.426245989,3.248243505,0.180277344,0.055751296,0.141752153,0.30761999,0.30761999
ApoEpi4_51823trans,0.642672427,0.908942423,-0.239036255,0.515202592,5.63032136,0.471354456,0.004643656,0.526223766,0.131340228,0.526223766
ApoEpi4_55076trans,0.658539753,0.908942423,-0.361955962,0.819034324,2.144268713,0.448586008,0.545272447,-0.06559281,0.796362002,0.796362002
