target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymGas3_92870trans,1.20E-05,0.000332872,4.320027738,0.986825021,2.382705852,7.001594682,0.946502299,1.001144944,0.413298884,1.001144944
SymGas2_3996trans,1.50E-05,0.000410303,-1.462997065,0.338006619,3.528432875,0.72202801,0.045193889,0.083718653,0.18330306,0.18330306
SymEpi4_13696trans,2.08E-05,0.00055883,-1.592454723,0.374151434,3.828133297,0.964527949,0.030438149,0.249540443,0.160776382,0.249540443
ApoGas4_5964trans,2.46E-05,0.000648367,-1.858261581,0.440513674,2.882202784,1.215526339,0.120806971,0.146261723,0.267297623,0.267297623
SymEpi4_10641trans,2.49E-05,0.000648367,-1.053956751,0.25000353,5.01405235,0.407924029,0.009495779,0.096140643,0.115507751,0.115507751
SymEpi3_1315trans,3.37E-05,0.000851724,-6.009330857,1.449128316,3.757269244,13.91768417,1.043195334,3.156750416,0.166002326,3.156750416
SymGas3_80914trans,3.35E-05,0.000851724,2.203944759,0.531272005,3.617238937,1.871677759,0.018015867,0.546484019,0.176369697,0.546484019
ApoEpi3_31398trans,3.65E-05,0.000909299,-0.943900478,0.22863337,5.930432382,0.320653076,0.002689998,0.074422553,0.101856437,0.101856437
SymEpi3_1616trans,3.73E-05,0.000915803,-3.083387227,0.747769429,1.963458148,3.155660001,0.478046109,0.034464961,0.64027213,0.64027213
ApoEpi3_45547trans,3.80E-05,0.000920237,1.591851661,0.386463719,5.98594424,0.980033414,0.004310303,0.29439811,0.101353587,0.29439811
ApoEpi3_10749trans,4.32E-05,0.001029433,-1.509744407,0.369147362,3.223445123,0.850583964,0.057872767,0.174699133,0.214666782,0.214666782
SymEpi2_69635trans,5.19E-05,0.001219667,-1.591609035,0.393277614,3.181658309,0.785006809,0.089028712,-0.017593874,0.220305851,0.220305851
ApoEpi4_46703trans,5.33E-05,0.001236392,-2.124955604,0.525904795,3.389633404,1.764254697,0.117551106,0.4356006,0.19562331,0.4356006
SymEpi4_32090trans,5.40E-05,0.001236392,-3.095557427,0.766716449,1.488734366,3.199789796,0.138791148,0.400138352,1.036917079,1.036917079
