target_id	length	eff_length	est_counts	tpm
ApoEc2_37572trans	330	1298.7	29.7454	2.97065
ApoEc2_37888trans	501	900.282	1	0.144066
ApoEc2_38515trans	981	2185.7	169.279	10.0451
ApoEc2_39023trans	726	3640.05	0	0
ApoEc2_39033trans	639	1252.49	3.33207	0.345049
ApoEc2_39430trans	576	2725.52	23.7433	1.12988
ApoEc2_40490trans	408	1506.19	5.24352	0.451527
ApoEc2_40529trans	540	1071.54	170.672	20.6583
ApoEc2_40792trans	384	623.593	9.83026	2.04458
ApoEc2_40810trans	387	1618.35	0	0
ApoEc2_41441trans	1179	7475.04	42.1949	0.732128
ApoEc2_41447trans	309	479.407	21.3916	5.78734
ApoEc2_42264trans	612	499.879	0	0
ApoEc2_42698trans	393	1656.69	1.58908	0.124407
ApoEc2_42749trans	726	3814.38	5.23707	0.178076
ApoEc2_43012trans	573	1075.23	92.4963	11.1574
ApoEc2_43040trans	924	5710.83	0	0
ApoEc2_43357trans	426	1838.98	3.36793	0.237535
ApoEc2_43358trans	381	1341.09	11.5707	1.11904
ApoEc3_1096trans	573	3129.39	0	0
ApoEc3_1097trans	522	2659.43	0	0
ApoEc3_1272trans	351	239.136	0	0
ApoEc3_1445trans	402	290.014	0	0
ApoEc3_2115trans	354	1373.28	101	9.53898
ApoEc3_2130trans	552	2776.62	1.81072	0.0845815
ApoEc3_2841trans	678	4015.86	0	0
ApoEc3_2966trans	534	2678.86	0	0
ApoEc3_2968trans	423	804.774	0	0
ApoEc3_3027trans	546	2757.63	20	0.940665
ApoEc3_3134trans	768	3517.18	8.18633	0.301881
ApoEc3_3229trans	630	3810.41	14	0.476538
ApoEc3_3426trans	393	2011.4	39.2069	2.52816
ApoEc3_3427trans	393	2026.15	42.2056	2.70172
ApoEc3_4000trans	750	4499.54	0	0
ApoEc3_4016trans	966	2244.68	2075.74	119.939
ApoEc3_4452trans	375	1492.29	2.33742	0.203154
ApoEc3_4453trans	387	275.036	0	0
ApoEc3_4519trans	501	2240.42	7.48547	0.433341
ApoEc3_4542trans	1170	7383.81	15.3333	0.269338
ApoEc3_4543trans	570	2807.08	16.4774	0.761331
ApoEc3_4832trans	327	215.313	0	0
ApoEc3_4833trans	423	310.99	0	0
ApoEc3_4877trans	300	1387.5	0	0
ApoEc3_5022trans	309	1173.9	50	5.52432
ApoEc3_5145trans	891	1861.82	7.48753	0.521604
ApoEc3_5146trans	1392	3313.47	0	0
ApoEc3_5582trans	516	1086.45	8.62361	1.02949
ApoEc3_5583trans	684	1410.76	0	0
ApoEc3_5759trans	372	1828.69	5.14284	0.364758
ApoEc3_6125trans	330	1094.8	11.3544	1.34514
ApoEc3_6199trans	477	2229.66	4.81592	0.280144
ApoEc3_6201trans	405	293.014	6.83747	3.02655
ApoEc3_6529trans	603	3516.92	2.7046	0.0997429
ApoEc3_6950trans	402	1535.11	8.3932	0.709135
ApoEc3_6951trans	468	1848.04	38.6068	2.70952
ApoEc3_7199trans	705	1408.75	4.99576	0.459949
ApoEc3_7200trans	705	3711.96	1.48418	0.051859
